SampleId,A_AL_CO,A_AL_M3,A_AL_RT,A_B_CO,A_B_M3,A_CA_CO,A_CA_M3,A_CA_RT,A_CEC_CO,A_CLAY_MI,A_CN_OF,A_CU_CO,A_CU_M3,A_CU_RT,A_C_IF,A_C_OF,A_C_RT,A_DENSITY_SA,A_EC_WA,A_FE_CO,A_FE_M3,A_FE_RT,A_K_CO,A_K_M3,A_K_RT,A_MG_CO,A_MG_M3,A_MG_RT,A_MN_CO,A_MN_M3,A_MN_RT,A_NA_CO,A_NA_M3,A_NA_RT,A_NI_RT,A_N_RT,A_PB_RT,A_PH_KCL,A_PH_WA,A_P_CO,A_P_M3,A_P_RT,A_SAND_MI,A_SILT_MI,A_SI_RT,A_S_CO,A_S_M3,A_S_RT,A_ZN_CO,A_ZN_M3,A_ZN_RT
sample_12521,0.00217,386.75896,47.11487,0.02482,0.88852,182.18003,3125.81991,5.21428,175.68092,15.8,10.31538,0.00061,0.75519,6.8,0.01017,13.64233,13.42869,1.21078,16.4,0.00144,44.81257,13.28671,16.20014,501.59974,23.48547,24.99357,270.51261,2.05066,0.07895,162.36041,333.07513,0.38271,5.68397,3.82789,13.4,1.32252,23.1,7.12,7.73,0.06329,24.5901,0.51091,44.2,40.0,324.91818,1.23031,17.87061,0.001,0.00059,1.15692,28.0
sample_12522,0.061491238,707.2368421,55.58496559,0.063997913,1.130756579,227.906406,3587.582237,8.5,266.2417763,24.8,10.53846154,0.002177375,2.467105263,19.9,0.0,18.30797697,18.20518092,1.16,6.3,0.00988725,102.0764803,28.04195804,6.199890197,247.7384868,17.51037344,71.57353413,715.4605263,7.780458384,0.177008587,197.3684211,580.9450039,0.230276193,4.831414474,7.930267062,29.6,1.737253289,16.8,6.07,7.4,0.107529474,11.30756579,0.659388646,24.8,50.3,322.113137,1.724809017,16.55016447,0.22,0.004245172,1.500822368,72.0
sample_12523,0.260813463,929.2258129,61.93753309,0.013038328,0.161079231,17.48338043,335.2461492,0.571428571,32.61854425,36.1,15.72916667,0.000443598,2.416188463,37.6,0.0,7.600926206,7.057283801,1.18,2.3,0.002015832,84.86861975,37.97202797,2.97137252,134.9038558,8.796680498,11.1650521,119.8026779,0.603136309,0.342312845,76.61330917,317.5832688,0.256615305,6.805597503,2.091988131,44.2,0.483237693,1.6,4.97,6.34,0.032860699,2.043692741,0.371179039,48.0,15.9,303.8803179,0.351657502,10.47015001,0.004,0.030673546,4.540420819,36.0
sample_12524,0.454076714,1008.369467,27.52779248,0.036472938,0.792578401,64.09140261,1179.792276,4.571428571,75.32519915,8.2,10.63087248,0.001240904,2.24866391,11.5,0.867197741,15.97257235,16.83977009,1.16,6.3,0.005624593,478.9754966,12.44755245,3.364362137,164.3642231,12.28215768,6.7434727,77.84612282,1.628468034,0.294775909,96.400121,650.6584043,0.973728844,21.78078048,7.870919881,10.3,1.502470505,15.8,5.2,6.08,0.126966856,167.3893315,0.96069869,54.0,37.8,378.2141187,0.981197834,18.25148734,0.228,0.050279664,9.589593627,44.0
sample_12525,23.90916225,1260.707563,142.6680783,0.003554492,0.129923502,3.277815765,105.8097051,0.01,60.52406993,23.74578413,18.795,0.000505995,1.075526751,87.4,0.093106181,38.88734836,38.98045454,0.901,3.9,0.002087684,26.41571135,186.4335664,0.45226539,23.25675929,0.165975104,0.538914781,6.626788022,0.1,0.298614015,10.53430889,774.5933385,0.041705281,1.132277237,4.154302671,162.3,2.06902625,19.8,4.2,4.62,0.02095641,3.628219818,2.31441048,34.41690038,41.83731549,120.1963534,0.000599137,19.73223548,0.24,0.004356606,0.288907282,111.5
sample_12526,0.00299,390.22802,63.52567,0.02345,0.59187,245.66708,6352.08028,94.64285,240.18338,37.0,10.11111,0.00084,2.45159,12.9,33.98126,7.45805,41.43931,1.121,12.7,0.00096,146.65887,40.83916,4.85232,144.46193,7.46887,60.54142,757.42537,77.38238,0.00175,152.65352,751.35553,0.2762,4.61888,10.00741,583.9,0.7376,64.5,7.32,8.1,0.12696,23.82288,0.44104,32.8,30.3,209.91117,1.46888,15.9219,0.001,0.00082,1.3583,59.0
sample_12527,8.52062,556.6109766,26.46903123,0.00693,0.451342181,13.44558,234.8300078,2.071428571,17.73285,7.4,7.9375,0.00089,1.218343245,7.1,1.98305,6.392066874,8.375117542,1.28646,8.7,0.00659,277.8305097,11.11888112,1.47624,80.89356485,9.294605809,3.0165,34.72191659,1.326899879,2.00489,84.85360471,441.5182029,0.1169,2.33894581,9.458456973,13.5,0.805299764,17.1,3.87,4.68,0.03506,40.8675017,0.288209607,71.6,21.0,380.5516597,0.30302,0.010066247,0.001,0.02009,1.246632439,27.0
sample_12528,0.94098,862.59581,8.99947,0.00916,0.18371,49.65229,926.68833,2.07142,58.64749,6.6,17.15841,0.00041,3.23312,12.5,1.52093,17.45544,18.97637,1.30908,3.7,0.00172,159.2273,2.23776,1.14716,40.71943,4.73029,4.30467,44.56569,0.1,0.08726,34.52564,61.96746,0.27673,4.98057,3.6721,7.9,1.01731,13.9,5.18,6.22,0.22032,302.75814,0.40611,88.9,4.4,412.34221,0.00081,5.76595,0.001,0.07993,8.15383,20.0
sample_12529,18.27229,578.02459,11.11699,0.00195,0.12743,0.18827,9.20738,0.85714,7.46506,6.6,20.07142,0.00036,0.09669,1.9,1.60939,14.22134,15.83073,1.28562,2.4,0.29134,416.06119,2.23776,0.73154,19.87565,9.9585,0.33274,4.01879,0.1,0.00731,0.37025,10.0,0.08574,6.02641,4.33234,7.1,0.70853,15.2,3.57,4.4,0.10607,77.4702,0.1179,88.6,4.8,416.54978,0.00072,0.01012,0.001,0.01191,0.48003,7.0
sample_1253,1.517681108,1140.878069,85.7596612,0.037315623,0.388102272,32.06625359,594.8864215,0.642857143,94.22430478,45.8,11.47933884,0.001269574,1.701130692,14.5,0.38708363,14.14892533,14.53600896,1.12,2.9,0.005754732,83.630437,53.63636364,0.75554224,44.41275339,1.742738589,16.56324283,194.5604564,0.361881785,2.013621288,99.41937455,580.9450039,0.342504338,8.984414791,2.03264095,21.2,1.232555771,16.9,4.6,5.88,0.062452848,3.931954772,0.484716157,46.1,8.1,274.8948107,1.397835886,10.59386778,0.456,0.004113204,0.574513599,58.0
sample_12530,0.04110096,161.4704986,38.11540498,0.04274465,1.888900173,156.0309691,9129.684168,71.5,176.7035645,13.6,10.63586957,0.001454284,1.543617345,9.9,23.51985376,19.87407332,43.39392708,1.06,12.0,0.006608673,41.3323855,15.45454545,1.933925167,75.86066822,12.03319502,23.62597902,365.5935818,13.81182147,0.006728592,93.53102468,472.5019365,0.117501408,3.595003554,9.666172107,18.3,1.868589418,17.8,7.74,8.28,0.071606883,3.503605159,0.471615721,47.4,39.0,286.115007,1.152868428,10.56159236,0.3,0.002826979,0.933279171,35.0
sample_12531,14.73051,961.78588,15.35203,0.00424,0.10056,1.14663,31.53733,1.42857,13.01903,4.0,13.12987,0.00039,0.36452,3.4,0.44308,10.18097,10.62406,1.40802,2.0,0.04131,479.67917,6.57342,0.51034,25.12968,8.87966,0.32178,7.6565,0.4825,0.34469,31.15516,162.6646,0.07911,1.60911,4.12462,8.7,0.7754,19.9,3.98,4.78,0.14406,177.27441,0.41921,83.7,12.3,402.52454,0.33272,25.71276,0.001,0.00493,0.67663,22.0
sample_12532,0.083705557,1228.47543,69.87824246,0.087028787,1.19697606,256.4347067,4063.418732,21.14285714,360.1427971,34.4,7.3125,0.002960945,18.37463251,92.5,0.1049979,11.05627887,11.16127677,1.16,49.6,0.013477889,249.8950021,50.55944056,36.91823059,1532.969341,19.08713693,216.2554768,1973.960521,27.38238842,3.356076753,161.6967661,1092.176607,2.082623811,38.21923562,10.13353116,198.7,1.511969761,22.7,4.94,6.66,0.145426642,80.21839563,0.772925764,31.4,34.2,271.1547452,11.39573017,226.7954641,0.3,0.430398244,54.07391852,250.0
sample_12533,0.037414424,496.1600647,27.52779248,0.038887314,1.434923201,160.8213864,5537.590946,12.35714286,189.9757478,13.2,12.1031746,0.001323047,1.424818108,12.2,1.707760711,15.41026677,17.11802749,1.28,,0.006033976,119.240097,11.74825175,2.292621052,123.2821342,12.61410788,5.712938591,100.0404204,2.834740651,0.006143467,92.36054972,333.0751356,0.157797506,5.234438157,6.275964392,15.4,1.273241714,11.6,7.32,,0.382687606,91.04688763,0.589519651,32.0,54.8,374.9415615,2.23128924,10.50929669,0.18,0.002574959,1.606709782,27.0
sample_12534,0.018813985,605.4867391,82.58337745,0.019613533,0.330265494,122.9452068,5891.77332,16.0,117.2238636,12.3,9.907894737,0.000667303,0.18348083,12.0,3.368911907,3.837807361,7.206719268,1.38,9.5,0.003032413,35.57489427,50.20979021,10.01974485,757.3680928,38.50622407,11.98469131,232.4090514,6.393244873,0.003087438,166.152085,1448.489543,0.585271661,14.37266502,30.43026706,15.2,0.387348419,11.3,7.54,8.26,0.042749734,25.38151482,0.755458515,50.2,37.5,276.7648434,0.528997736,10.60111462,0.24,0.001297169,1.386299605,137.0
sample_12535,0.018049131,514.2165759,72.52514558,0.018747625,0.197620488,50.05689839,996.1685824,36.71428571,75.41843114,17.3,10.89333333,0.000637843,6.281508369,24.6,0.060496068,8.237547893,8.29804396,1.2,6.2,0.002902142,374.0673523,31.32867133,3.001743528,134.0996169,6.887966805,14.20862817,174.4303287,11.64053076,1.255332456,131.0748135,836.5608056,0.833287507,20.2661827,26.37982196,29.0,0.756200847,5.4,5.35,6.64,0.0315432,31.86126235,0.524017467,75.2,7.5,268.3496961,1.8301268,40.63319218,0.196,0.006600468,2.218189151,68.0
sample_12536,0.004434697,1284.195945,86.55373213,0.017986842,1.533240175,487.0637074,10126.79871,18.14285714,592.3371803,42.43423401,10.18518519,0.001255311,8.236437427,70.8,0.897678081,11.7553082,12.65298628,1.23674,12.0,0.001428417,86.73847231,66.29370629,5.307991796,269.0734948,6.639004149,55.65510817,772.7152033,2.412545235,0.052833913,292.0260722,1161.890008,1.524436843,36.83557859,1.78041543,132.5,1.154157533,42.5,6.75,7.9,0.003863107,33.9597475,2.31441048,48.58189498,8.983871005,239.2706872,0.002488224,10.15361648,0.28,0.001220097,3.080199896,221.2
sample_12537,0.814607187,387.5733657,10.58761249,0.019377592,0.108277677,34.94464312,389.5972475,1.714285714,75.08601498,3.1,16.16763006,0.000659276,1.224448492,9.5,0.0,28.30398705,25.29852257,1.15,4.8,0.002999553,94.92005667,2.517482517,3.350306643,82.06840721,5.228215768,9.281910665,64.25824732,0.180940893,0.408916735,10.52418539,54.22153369,0.286110556,3.815017203,4.376854599,5.1,1.750657762,16.4,5.11,6.32,0.041753422,47.05525197,0.585152838,91.5,5.4,417.9523142,1.205593266,15.38150172,0.276,0.137133625,9.168184578,36.0
sample_12538,47.97383957,1985.617688,125.9925887,0.033360879,0.231834281,12.13972117,232.9075883,1.785714286,111.6239133,78.4,10.95072464,0.001135024,0.325211978,1.0,0.965976173,40.54953311,41.51550928,0.83,6.9,0.005142514,100.2468606,111.2587413,3.856484924,247.9338843,7.219917012,4.081109954,47.44016314,3.739445115,4.376215324,223.2478266,2618.125484,0.185811398,4.014167651,4.71810089,35.0,3.702908662,68.0,3.95,4.67,0.055824587,1.685091768,0.637554585,3.1,18.5,212.7162225,0.897100293,49.37211549,0.704,0.07945557,3.058924547,153.0
sample_12539,0.051789554,1082.02803,56.11434621,0.053860697,1.34995878,256.31969,5956.306678,7.714285714,282.3577906,36.4,12.02702703,0.001832481,3.009068425,20.8,0.0,22.9286892,22.14550701,1.05,5.3,0.008327305,167.9719703,29.58041958,3.993611894,225.6801319,18.58921162,37.6368156,533.8004946,6.091676719,0.115921621,92.53915911,720.3718048,1.116127819,30.39983512,6.454005935,30.5,1.906430338,18.7,5.46,6.89,0.090228756,79.34872218,0.668122271,15.4,48.1,327.7232352,1.452679966,30.81203627,0.236,0.003562154,1.968260511,63.0
sample_1254,0.002609382,3.03000996,21.4399153,0.025770883,2.035613604,142.5940741,37706.76303,205.4285714,180.9805954,,8.396721311,0.00433545,7.261398592,23.7,74.39807529,26.13269384,100.5307691,1.12424,31.8,0.000840483,220.0218014,18.39160839,17.03331398,670.2488381,3.319502075,25.22626926,950.1676769,7.53920386,0.00689825,110.7902962,387.2966692,0.728352364,29.55675068,0.1,0.7,3.112249755,8.7,7.7,8.11,1.731543619,138.6746584,2.139737991,,,90.13557737,1.036545686,77.69197898,0.32,0.000717907,11.20056655,45.4
sample_12540,5.35723,955.43729,21.17522,0.00803,0.10735,33.88704,596.72465,2.28571,32.4972,6.9,11.96899,0.00025,0.60767,5.1,0.01009,15.59242,14.78452,1.29436,2.7,0.01203,548.1807,12.23776,2.12815,87.74356,11.2863,4.10063,47.91235,1.44752,0.42483,40.09951,240.12393,0.10854,2.24705,4.56231,11.5,1.30273,13.1,4.29,5.61,0.06091,46.37982,0.51965,72.7,20.4,381.48667,1.11159,0.01009,0.001,0.01643,1.53626,26.0
sample_12541,0.046752479,755.4469558,48.17363684,0.048692819,1.272653227,191.5862264,3736.509876,6.357142857,284.0562004,27.7,11.49746193,0.001656656,3.28853594,26.2,0.0,23.06047648,22.36815313,1.06,6.7,0.00753559,187.3345551,23.21678322,7.447056142,376.7053553,19.08713693,14.94177824,188.3526777,4.342581423,0.145663042,169.0083486,774.5933385,0.156329216,4.296477296,7.025222552,28.5,2.005701486,19.6,6.26,7.15,0.081551679,37.36509876,0.558951965,12.5,59.8,346.4235624,1.505083907,16.90083486,0.244,0.003207911,4.062309102,55.0
sample_12542,0.09781,365.26886,21.17522,0.00488,0.09416,28.26575,472.35967,1.14285,35.50234,5.8,12.98,0.00029,1.16559,8.2,0.01003,6.51296,6.50293,1.30194,1.3,0.00033,98.41848,12.30769,1.62186,57.69573,10.29045,8.65713,88.04261,0.4825,0.30991,33.04543,154.91866,0.01147,0.01003,3.18991,12.0,0.50176,9.3,5.08,6.06,0.00829,3.61099,0.15283,78.0,16.2,394.10939,0.45213,0.01003,0.001,0.00178,0.16571,8.0
sample_12543,0.067037962,894.0341194,55.05558497,0.069766829,2.216955985,304.3391106,5594.188001,8.714285714,8.484518468,36.2,13.20652174,0.002373649,2.848892037,20.7,0.0,25.173846,22.71861905,1.14,8.0,0.010779115,93.65085097,29.86013986,7.07236444,364.6581808,18.92116183,50.27543429,589.4616615,7.056694813,0.037638352,311.824183,751.3555383,0.382574801,8.049414956,5.830860534,34.1,1.906167763,17.8,6.42,7.75,0.116393469,21.03000304,0.484716157,15.2,48.6,327.7232352,4.458663368,20.20123445,0.252,0.004626805,1.398547,64.0
sample_12544,0.00308508,174.7565267,33.35097935,0.046351877,4.789056975,314.1200158,7552.324272,37.35714286,337.430427,14.42873109,9.838961039,0.00087328,3.797065041,15.5,12.41546325,39.02885875,51.444322,1.097,,0.000993705,100.1503519,17.34265734,8.750609108,309.2921734,14.43983402,141.3238831,1497.215846,10.37394451,0.007283657,152.4397107,379.5507359,7.766635023,133.6781301,6.580118694,15.6,3.966766267,17.0,7.6,,0.853525801,88.3136736,0.681222707,40.12665059,45.44461832,300.6077606,4.89208169,104.8399936,0.408,0.000848784,4.039879084,63.0
sample_12545,6.76712,700.95594,10.58761,0.00356,0.14455,0.75498,20.47267,1.0,20.90615,2.7,23.26666,0.00029,0.15866,2.2,0.01002,6.99928,6.83883,1.52616,1.4,0.05546,323.66515,2.58741,0.24376,8.34255,6.55601,0.18672,4.68132,0.1,0.05724,8.72558,10.0,0.04235,1.02654,4.62908,5.9,0.30082,14.1,3.97,4.8,0.12373,142.28046,0.20087,92.4,4.9,419.35483,0.65859,12.39043,0.001,0.01914,1.3566,10.0
sample_12546,2.922268502,192.6557496,7.30545262,0.011654442,0.010013301,0.772421847,16.30360371,0.01,5.539109656,6.149798526,7.0,0.00040665,0.140287862,10.3,0.010013301,0.841117294,0.761010885,1.44486,0.4,0.013231843,64.43584449,2.027972028,0.000320138,2.364927417,0.01,0.044345471,0.678679878,0.241254524,0.016285751,0.530215625,10.0,0.14659184,3.942590294,0.1,5.1,0.120159613,0.001,4.27,5.69,0.001212333,0.010013301,0.043668122,78.45302821,15.39717326,430.5282842,0.000780862,0.010013301,0.08,0.014162835,0.557146753,9.8
sample_12547,23.34873607,604.7450782,11.64637374,0.011767667,0.169611307,4.946574795,85.10853104,0.714285714,35.8404846,0.1,23.78212291,0.001283715,0.334174659,6.8,0.0,42.97829379,41.16102978,1.25,6.9,0.819441956,551.2367491,3.776223776,1.116766783,51.59010601,6.390041494,0.883943217,10.60070671,0.1,0.091884506,2.473498233,10.0,0.118569956,2.614840989,4.154302671,6.5,1.807168097,28.4,3.02,3.86,0.044883378,3.785966683,0.104803493,87.6,12.4,423.5624123,0.317386429,10.4997476,0.132,0.041075442,1.413427562,11.0
sample_12548,0.056303139,846.6612937,36.5272631,0.025219363,0.9376313,96.7012571,1616.081045,6.357142857,146.1328942,12.1,10.93846154,0.000517932,1.230194611,13.5,0.010166278,14.45644797,14.00913171,1.258,6.3,0.000589355,179.7585058,19.09090909,16.04771315,637.4669937,17.17842324,39.20110295,441.6099126,3.498190591,0.865652697,132.6933012,441.5182029,0.179766923,3.21627541,7.255192878,19.2,1.321616199,14.6,5.07,6.72,0.12524411,63.85743659,0.467248908,45.4,42.6,339.8784479,0.253886843,18.18729813,0.032,0.002903343,1.132185855,55.0
sample_12549,3.072577859,463.6221675,13.97564849,0.000751027,0.115649646,10.52523486,241.1438994,0.142857143,28.13463718,13.81832058,10.45714286,0.000346617,0.719974133,13.8,0.050339435,3.684846663,3.735186098,1.32978,3.5,0.002437792,165.6004829,7.412587413,0.148279511,12.58642973,0.746887967,4.577194309,54.25253091,0.482509047,0.610348128,24.26456369,77.45933385,1.819316099,39.66764069,0.296735905,8.5,0.352376047,0.001,4.18,5.69,0.000473232,0.913297374,0.043668122,52.31577991,33.86589951,418.9340813,0.000304808,5.983511541,0.08,0.009915399,0.463554051,14.6
sample_1255,1.604366679,1310.842394,113.3,0.028388472,0.101514074,26.49566718,480.6422112,0.07,89.01534397,16.01787269,15.75886525,0.00096585,4.450767198,96.0,0.0,22.5790062,20.27233005,1.1,3.4,0.004396357,43.79636216,115.5,0.211244536,21.33929479,0.01,3.211363942,34.95579718,0.1,0.366598917,45.82867595,750.0,0.014276727,0.509094604,1.7,58.0,1.432781221,11.0,4.69,5.62,0.047537378,7.560207296,0.76,50.33376197,33.64836534,212.0,1.705003772,14.02296515,0.364,0.003061837,0.419672797,73.0
sample_12550,0.613284662,788.0271461,29.11593436,0.020295363,0.564439025,61.02012981,1249.646657,6.857142857,78.83597312,,11.35260116,0.000382929,0.969569111,14.0,0.010112965,19.86186311,19.50790934,1.32,5.5,0.001146245,222.8325937,11.18881119,8.268043333,392.8625596,14.02489627,13.59439096,183.0217646,1.568154403,0.494815034,76.37785604,247.8698683,0.070691768,0.523262617,8.864985163,14.8,1.749542932,8.6,4.88,6.21,0.053233735,96.14009478,0.454148472,,,352.968677,0.559769705,0.010112965,0.008,0.020863852,3.136510488,55.0
